epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4113,2.06691,2.30342,2.10608,0.06495,0.14737,0.02519,0.00858,2.62133,10.5312,3.18048,0.000664912,0.000664912,0.000664912
2,141.671,2.33076,2.80793,2.351,0.06614,0.10947,0.01986,0.00628,nan,nan,nan,0.00132894,0.00132894,0.00132894
3,211.421,2.31344,2.83352,2.34763,0.13405,0.13081,0.05392,0.01753,nan,nan,nan,0.00199033,0.00199033,0.00199033
4,281.581,2.30168,2.8397,2.32005,0.04058,0.08143,0.01892,0.00587,nan,nan,nan,0.00198812,0.00198812,0.00198812
5,350.327,2.26598,2.79975,2.27605,0.15911,0.16501,0.06455,0.0204,2.60413,3.55633,2.57144,0.00198416,0.00198416,0.00198416
6,419.211,2.17283,2.65155,2.17319,0.27257,0.19953,0.15365,0.05026,2.53877,3.35363,2.42512,0.0019802,0.0019802,0.0019802
7,487.633,2.07984,2.54976,2.15425,0.29446,0.25019,0.17284,0.05968,2.36367,2.66188,2.25696,0.00197624,0.00197624,0.00197624
8,555.14,2.06358,2.56982,2.12668,0.32619,0.21651,0.17504,0.05397,2.43441,2.51037,2.27054,0.00197228,0.00197228,0.00197228
9,622.889,2.0215,2.47723,2.1035,0.36354,0.19944,0.18733,0.0639,2.46575,2.48382,2.30596,0.00196832,0.00196832,0.00196832
10,690.732,2.01795,2.4866,2.05803,0.3243,0.24457,0.19883,0.07248,2.28687,2.57926,2.18779,0.00196436,0.00196436,0.00196436
11,757.817,1.96582,2.39915,2.04641,0.33617,0.25413,0.21837,0.07752,2.26507,2.30352,2.12995,0.0019604,0.0019604,0.0019604
12,825.478,1.94071,2.34304,2.02193,0.39369,0.26482,0.24724,0.09231,2.20258,2.33517,2.13089,0.00195644,0.00195644,0.00195644
13,892.854,1.93652,2.32086,2.02957,0.34184,0.28864,0.24213,0.08711,2.28941,2.30057,2.21676,0.00195248,0.00195248,0.00195248
14,959.904,1.89514,2.24678,1.99719,0.46558,0.30094,0.27927,0.10303,2.22348,2.25669,2.12726,0.00194852,0.00194852,0.00194852
15,1027.53,1.88683,2.26446,1.96665,0.37974,0.28827,0.24942,0.08945,2.28274,2.2149,2.12804,0.00194456,0.00194456,0.00194456
16,1094.8,1.89061,2.20484,1.98435,0.40108,0.30872,0.27345,0.09156,2.31967,2.30817,2.2064,0.0019406,0.0019406,0.0019406
17,1162.06,1.86599,2.20811,1.95893,0.45871,0.29923,0.28775,0.10594,2.2083,2.23468,2.1309,0.00193664,0.00193664,0.00193664
18,1229.58,1.82897,2.19512,1.9305,0.39254,0.27936,0.25745,0.09224,2.2864,2.20008,2.15372,0.00193268,0.00193268,0.00193268
19,1310.96,1.85714,2.124,1.96763,0.42441,0.30535,0.26323,0.09798,2.17684,2.06832,2.0662,0.00192872,0.00192872,0.00192872
20,1388.02,1.82994,2.13847,1.96475,0.4289,0.28274,0.27114,0.10148,2.24157,2.15538,2.11402,0.00192476,0.00192476,0.00192476
21,1465.99,1.8378,2.11998,1.94206,0.43016,0.30005,0.28635,0.1039,2.20674,2.1067,2.08296,0.0019208,0.0019208,0.0019208
22,1540.45,1.83173,2.12704,1.94067,0.46641,0.30769,0.30218,0.10603,2.30669,2.1169,2.15828,0.00191684,0.00191684,0.00191684
23,1621.32,1.79331,2.06736,1.90676,0.50296,0.32008,0.30336,0.11673,2.12993,2.08347,2.03865,0.00191288,0.00191288,0.00191288
24,1696,1.77849,2.05715,1.91404,0.49931,0.32705,0.31999,0.11781,2.17584,1.99784,2.03556,0.00190892,0.00190892,0.00190892
25,1772.86,1.80049,2.06978,1.90713,0.51961,0.3439,0.34094,0.12897,2.09971,1.96316,1.992,0.00190496,0.00190496,0.00190496
26,1843.53,1.80164,2.00673,1.90575,0.4654,0.32439,0.31101,0.11248,2.18913,2.02936,2.04403,0.001901,0.001901,0.001901
27,1916.31,1.78238,2.09817,1.90396,0.52277,0.34291,0.3357,0.12414,2.09608,1.95144,1.96899,0.00189704,0.00189704,0.00189704
