epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5492,1.33464,1.21787,1.53431,0.69151,0.46951,0.49272,0.22294,1.84696,1.33377,1.75555,0.000664912,0.000664912,0.000664912
2,143.647,1.38212,1.27851,1.56503,0.69168,0.44944,0.49009,0.21928,1.90598,1.43665,1.81393,0.00132894,0.00132894,0.00132894
3,212.809,1.41162,1.3329,1.5986,0.68252,0.44084,0.47814,0.22564,1.79521,1.44247,1.72815,0.00199033,0.00199033,0.00199033
4,281.364,1.38208,1.3494,1.57412,0.67138,0.44407,0.48967,0.23543,1.83015,1.46967,1.76294,0.00198812,0.00198812,0.00198812
5,349.166,1.39749,1.3499,1.58932,0.65767,0.44653,0.47787,0.22617,1.78832,1.45495,1.74467,0.00198416,0.00198416,0.00198416
6,417.167,1.41283,1.30009,1.57325,0.68521,0.45638,0.4843,0.23156,1.82265,1.41933,1.7815,0.0019802,0.0019802,0.0019802
7,485.658,1.37669,1.29394,1.58717,0.67686,0.43268,0.46012,0.2065,1.97608,1.5087,1.89427,0.00197624,0.00197624,0.00197624
8,562.036,1.42023,1.38464,1.62227,0.67806,0.45272,0.48388,0.22608,1.83642,1.42922,1.76962,0.00197228,0.00197228,0.00197228
9,652.143,1.38938,1.3218,1.60064,0.68537,0.44437,0.47773,0.22897,1.81597,1.42887,1.773,0.00196832,0.00196832,0.00196832
10,722.792,1.42115,1.34759,1.59174,0.66692,0.44855,0.47281,0.21426,1.90427,1.46667,1.81684,0.00196436,0.00196436,0.00196436
11,805.606,1.42125,1.36251,1.60365,0.66158,0.43405,0.47071,0.21668,1.8774,1.49115,1.785,0.0019604,0.0019604,0.0019604
12,890.361,1.38628,1.34213,1.58418,0.70073,0.45807,0.49616,0.22787,1.8475,1.37575,1.77346,0.00195644,0.00195644,0.00195644
13,958.329,1.38488,1.30527,1.57003,0.68092,0.45624,0.48706,0.22413,1.78972,1.40393,1.7249,0.00195248,0.00195248,0.00195248
14,1025.53,1.39074,1.35494,1.58532,0.68679,0.44212,0.48669,0.22395,1.94659,1.47978,1.83789,0.00194852,0.00194852,0.00194852
15,1092.89,1.4035,1.35161,1.60356,0.68068,0.45572,0.47781,0.22917,1.79469,1.41283,1.75895,0.00194456,0.00194456,0.00194456
16,1159.93,1.37312,1.30763,1.5722,0.68975,0.45582,0.48468,0.22459,1.83165,1.41689,1.74632,0.0019406,0.0019406,0.0019406
17,1229.66,1.36509,1.29773,1.5604,0.68388,0.44221,0.4834,0.22175,1.89049,1.4955,1.81775,0.00193664,0.00193664,0.00193664
18,1296.69,1.41231,1.30478,1.59849,0.68851,0.43236,0.47098,0.21151,1.92033,1.46704,1.82821,0.00193268,0.00193268,0.00193268
19,1369.03,1.38222,1.29481,1.59125,0.68397,0.44493,0.4802,0.21936,1.91268,1.42051,1.81821,0.00192872,0.00192872,0.00192872
20,1436.96,1.36783,1.31022,1.58979,0.68683,0.4444,0.48305,0.22563,1.8312,1.40921,1.73612,0.00192476,0.00192476,0.00192476
21,1503.35,1.40129,1.34206,1.60345,0.67307,0.45965,0.49426,0.22696,1.84728,1.39215,1.76274,0.0019208,0.0019208,0.0019208
22,1569.79,1.39762,1.34732,1.59699,0.69468,0.45035,0.48842,0.22693,1.88092,1.38301,1.80153,0.00191684,0.00191684,0.00191684
23,1636.37,1.38386,1.32314,1.59034,0.64856,0.4527,0.48593,0.22404,1.84497,1.40331,1.77546,0.00191288,0.00191288,0.00191288
24,1702.97,1.36454,1.28268,1.5721,0.67188,0.42739,0.4671,0.22677,1.79903,1.42893,1.73724,0.00190892,0.00190892,0.00190892
25,1769.34,1.38063,1.30505,1.58028,0.70418,0.46023,0.5023,0.23373,1.87007,1.39293,1.79941,0.00190496,0.00190496,0.00190496
26,1837.02,1.37861,1.25931,1.57603,0.68119,0.45488,0.49448,0.23998,1.80509,1.4144,1.74937,0.001901,0.001901,0.001901
27,1904.58,1.36725,1.30384,1.58492,0.67771,0.4575,0.48524,0.23097,1.80502,1.38014,1.75221,0.00189704,0.00189704,0.00189704
28,1971.66,1.35748,1.29018,1.58832,0.68865,0.44456,0.48199,0.23391,1.83191,1.42891,1.78626,0.00189308,0.00189308,0.00189308
29,2038.54,1.34634,1.27191,1.55571,0.698,0.45094,0.49143,0.2264,1.87312,1.42459,1.82242,0.00188912,0.00188912,0.00188912
30,2106.39,1.38188,1.29228,1.57236,0.68457,0.4595,0.49584,0.2305,1.85001,1.36869,1.78112,0.00188516,0.00188516,0.00188516
31,2173.44,1.38522,1.35742,1.62093,0.68804,0.46304,0.49261,0.22188,1.87147,1.35835,1.77672,0.0018812,0.0018812,0.0018812
32,2240.68,1.37879,1.26314,1.581,0.69323,0.44857,0.47839,0.19846,2.00946,1.44509,1.85662,0.00187724,0.00187724,0.00187724
33,2307.53,1.37,1.30448,1.58309,0.69658,0.45334,0.48611,0.21711,1.90605,1.37866,1.82126,0.00187328,0.00187328,0.00187328
34,2375.4,1.36742,1.27716,1.57971,0.69196,0.45432,0.49515,0.23558,1.84628,1.39144,1.76507,0.00186932,0.00186932,0.00186932
