epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.04949,0.98011,1.87624,2.48732,1.30242,0.83685,0.96667,0.97367,0.72671,0.83685,0.96667,0.97046,0.65487,1.36812,1.92377,0.68315,1.19583,0,0,0
2,6.74514,0.90575,3.30144,2.67019,1.29969,0.83481,0.96667,0.97368,0.72624,0.92838,0.78715,0.92881,0.64851,1.35726,1.92284,0.68138,1.18806,1.17822e-06,1.17822e-06,1.17822e-06
3,7.32929,1.2678,2.77332,2.73308,1.4173,0.83644,0.95824,0.97465,0.72999,0.9289,0.78723,0.92986,0.64241,1.34532,1.91452,0.67726,1.18067,2.33288e-06,2.33288e-06,2.33288e-06
4,7.96416,0.80932,2.32611,2.0971,1.09092,0.84191,0.94198,0.97368,0.73,0.7285,0.94161,0.94319,0.65903,1.35705,1.91703,0.68458,1.18909,3.46397e-06,3.46397e-06,3.46397e-06
5,8.82089,1.02332,2.38998,2.23356,1.31747,0.84131,0.94034,0.97464,0.72872,0.73331,0.92695,0.94436,0.65785,1.3642,1.92174,0.69127,1.18601,4.5715e-06,4.5715e-06,4.5715e-06
6,9.68322,0.87555,2.78184,1.86415,1.09474,0.84782,0.9279,0.97463,0.72888,0.81232,0.84089,0.93037,0.64872,1.36904,1.92198,0.70056,1.18547,5.65548e-06,5.65548e-06,5.65548e-06
7,10.4326,0.94382,2.33548,2.75238,1.31622,0.84909,0.92561,0.97466,0.72773,0.81913,0.83885,0.94688,0.6504,1.35926,1.92711,0.70529,1.18329,6.71588e-06,6.71588e-06,6.71588e-06
8,11.5063,1.11137,2.53126,4.17672,1.46434,0.85324,0.92519,0.97578,0.72534,0.81928,0.83914,0.948,0.64887,1.35506,1.93375,0.70491,1.19059,7.75273e-06,7.75273e-06,7.75273e-06
9,12.2496,0.83413,2.52863,2.33958,1.17572,0.85432,0.92444,0.97579,0.72506,0.81074,0.84025,0.94801,0.65065,1.34856,1.93786,0.71115,1.187,8.76602e-06,8.76602e-06,8.76602e-06
10,13.0207,0.7265,2.04103,1.93588,1.09922,0.77109,0.92417,0.948,0.72219,0.77109,0.92417,0.948,0.64997,1.32929,1.94363,0.71438,1.18046,9.75574e-06,9.75574e-06,9.75574e-06
11,13.8386,0.65075,1.82551,1.19349,1.01416,0.84125,0.84057,0.93459,0.71605,0.84125,0.84057,0.93411,0.64254,1.33091,1.94987,0.72089,1.18338,1.07219e-05,1.07219e-05,1.07219e-05
12,14.6597,0.92791,2.48892,2.07259,1.12841,0.84715,0.83852,0.93039,0.71548,0.84715,0.83852,0.93039,0.63942,1.32295,1.96057,0.72538,1.18196,1.16645e-05,1.16645e-05,1.16645e-05
13,15.5039,0.81333,2.28977,1.75122,1.13508,0.85213,0.83742,0.93212,0.71662,0.85213,0.83742,0.93212,0.63824,1.32157,1.9762,0.74036,1.18318,1.25835e-05,1.25835e-05,1.25835e-05
14,16.3419,0.67746,1.68614,1.61763,1.03065,0.85107,0.83666,0.93213,0.71615,0.85107,0.83666,0.93213,0.63689,1.31168,1.98525,0.74533,1.18168,1.3479e-05,1.3479e-05,1.3479e-05
15,17.036,0.93148,2.26996,1.98281,1.22241,0.8557,0.83583,0.93213,0.71349,0.8557,0.83583,0.93213,0.6333,1.32346,1.99453,0.76215,1.18245,1.43509e-05,1.43509e-05,1.43509e-05
16,17.7158,0.58578,1.41984,1.45054,0.96109,0.8632,0.8341,0.93214,0.70168,0.8632,0.8341,0.93214,0.63134,1.33291,2.01064,0.76792,1.18443,1.51993e-05,1.51993e-05,1.51993e-05
17,18.3886,0.67839,2.08152,2.06618,1.13758,0.86985,0.83356,0.93215,0.70297,0.86985,0.83356,0.93215,0.62586,1.3332,2.02228,0.76954,1.18556,1.60241e-05,1.60241e-05,1.60241e-05
18,19.0746,0.96701,3.16122,1.79324,1.20205,0.86985,0.83356,0.93215,0.70297,0.86985,0.83356,0.93215,0.62586,1.3332,2.02228,0.76954,1.18556,1.68253e-05,1.68253e-05,1.68253e-05
19,19.9767,0.55389,1.67702,1.16088,1.00457,0.87848,0.83109,0.93216,0.71573,0.87848,0.83109,0.92383,0.61997,1.32551,2.04837,0.7779,1.1844,1.7603e-05,1.7603e-05,1.7603e-05
20,20.615,0.9522,2.42776,1.61116,1.16153,0.87848,0.83109,0.93216,0.71573,0.87848,0.83109,0.92383,0.61997,1.32551,2.04837,0.7779,1.1844,1.83571e-05,1.83571e-05,1.83571e-05
21,21.2875,0.67642,1.79361,1.50857,1.0266,0.87858,0.82873,0.92931,0.71767,0.87858,0.82873,0.92097,0.61925,1.30904,2.06285,0.78025,1.18863,1.90876e-05,1.90876e-05,1.90876e-05
22,21.9069,0.93912,1.88703,1.24589,1.21111,0.87858,0.82873,0.92931,0.71767,0.87858,0.82873,0.92097,0.61925,1.30904,2.06285,0.78025,1.18863,1.97946e-05,1.97946e-05,1.97946e-05
23,22.572,0.47699,1.26916,1.00314,0.986,0.88508,0.82795,0.92684,0.7266,0.88508,0.82795,0.91851,0.62846,1.3169,2.11934,0.78548,1.19645,2.0478e-05,2.0478e-05,2.0478e-05
24,23.2109,0.31501,1.20033,0.53215,0.90449,0.88508,0.82795,0.92684,0.7266,0.88508,0.82795,0.91851,0.62846,1.3169,2.11934,0.78548,1.19645,2.11379e-05,2.11379e-05,2.11379e-05
25,23.865,0.47074,1.48649,0.98832,0.93956,0.88287,0.82464,0.9179,0.72397,0.88287,0.82464,0.88119,0.6157,1.32527,2.14767,0.79041,1.19886,2.17741e-05,2.17741e-05,2.17741e-05
26,24.5397,0.74556,1.81248,1.16096,1.06503,0.88287,0.82464,0.9179,0.72397,0.88287,0.82464,0.88119,0.6157,1.32527,2.14767,0.79041,1.19886,2.23869e-05,2.23869e-05,2.23869e-05
27,25.2224,0.76723,1.60119,1.03961,1.03591,0.84845,0.84249,0.91874,0.72338,0.84845,0.84249,0.87998,0.61512,1.33515,2.17677,0.8148,1.20268,2.2976e-05,2.2976e-05,2.2976e-05
28,25.8607,0.76122,1.29967,0.68743,1.01581,0.84845,0.84249,0.91874,0.72338,0.84845,0.84249,0.87998,0.61512,1.33515,2.17677,0.8148,1.20268,2.35417e-05,2.35417e-05,2.35417e-05
29,26.7183,0.76866,1.63297,0.87171,1.12703,0.81897,0.85362,0.91759,0.71348,0.81897,0.85362,0.88729,0.59736,1.3485,2.20857,0.83358,1.21844,2.40837e-05,2.40837e-05,2.40837e-05
30,27.3728,0.44876,1.28587,0.89106,1.03997,0.81897,0.85362,0.91759,0.71348,0.81897,0.85362,0.88729,0.59736,1.3485,2.20857,0.83358,1.21844,2.46022e-05,2.46022e-05,2.46022e-05
31,28.0359,0.55255,1.20108,0.93058,1.01983,0.71018,0.87528,0.91728,0.7067,0.66134,0.83333,0.85788,0.59407,1.36162,2.26426,0.87081,1.22604,2.50971e-05,2.50971e-05,2.50971e-05
32,28.6818,0.57594,1.50311,0.7537,1.01244,0.71018,0.87528,0.91728,0.7067,0.66134,0.83333,0.85788,0.59407,1.36162,2.26426,0.87081,1.22604,2.55685e-05,2.55685e-05,2.55685e-05
33,29.3432,0.5741,1.24995,0.56845,0.98962,0.59875,0.81307,0.82107,0.60371,0.69339,0.85,0.86464,0.52841,1.38785,2.31735,0.91032,1.23661,2.60163e-05,2.60163e-05,2.60163e-05
34,29.9693,0.87341,1.65157,0.71464,1.06396,0.59875,0.81307,0.82107,0.60371,0.69339,0.85,0.86464,0.52841,1.38785,2.31735,0.91032,1.23661,2.64405e-05,2.64405e-05,2.64405e-05
35,30.6338,0.55909,1.25826,0.70718,0.95555,0.84417,0.68515,0.82113,0.58758,0.62302,0.85445,0.86273,0.50054,1.41638,2.35777,0.9196,1.24698,2.68412e-05,2.68412e-05,2.68412e-05
36,31.2797,0.33127,1.45351,0.72392,0.92313,0.84417,0.68515,0.82113,0.58758,0.62302,0.85445,0.86273,0.50054,1.41638,2.35777,0.9196,1.24698,2.72183e-05,2.72183e-05,2.72183e-05
37,31.928,0.48245,1.43203,0.54294,0.98743,0.84025,0.6867,0.81457,0.57991,0.63729,0.85,0.86195,0.48721,1.46433,2.39152,0.93349,1.27543,2.75718e-05,2.75718e-05,2.75718e-05
38,32.7283,0.60613,1.33405,0.70576,0.96308,0.84025,0.6867,0.81457,0.57991,0.63729,0.85,0.86195,0.48721,1.46433,2.39152,0.93349,1.27543,2.79018e-05,2.79018e-05,2.79018e-05
39,33.3881,0.45097,1.0462,0.46038,0.86632,0.67531,0.86667,0.90014,0.56224,0.8745,0.65651,0.86163,0.47389,1.48327,2.4175,0.93786,1.28874,2.82082e-05,2.82082e-05,2.82082e-05
40,34.0275,0.6404,1.20562,0.50126,0.99888,0.67531,0.86667,0.90014,0.56224,0.8745,0.65651,0.86163,0.47389,1.48327,2.4175,0.93786,1.28874,2.84911e-05,2.84911e-05,2.84911e-05
